datetime,count
2011-01-20 00:00:00,10.3
2011-01-20 01:00:00,5.34
2011-01-20 02:00:00,4.42
2011-01-20 03:00:00,3.04
2011-01-20 04:00:00,2.75
2011-01-20 05:00:00,5.59
2011-01-20 06:00:00,35.31
2011-01-20 07:00:00,95.73
2011-01-20 08:00:00,201.59
2011-01-20 09:00:00,117.05
2011-01-20 10:00:00,56.74
2011-01-20 11:00:00,59.02
2011-01-20 12:00:00,81.71
2011-01-20 13:00:00,71.33
2011-01-20 14:00:00,72.38
2011-01-20 15:00:00,74.94
2011-01-20 16:00:00,87.37
2011-01-20 17:00:00,197.75
2011-01-20 18:00:00,176.73
2011-01-20 19:00:00,106.89
2011-01-20 20:00:00,69.66
2011-01-20 21:00:00,46.81
2011-01-20 22:00:00,43.94
2011-01-20 23:00:00,25.54
2011-01-21 00:00:00,13.98
2011-01-21 01:00:00,6.61
2011-01-21 02:00:00,4.32
2011-01-21 03:00:00,2.51
2011-01-21 04:00:00,2.06
2011-01-21 05:00:00,4.0
2011-01-21 06:00:00,32.25
2011-01-21 07:00:00,96.72
2011-01-21 08:00:00,191.4
2011-01-21 09:00:00,125.71
2011-01-21 10:00:00,49.6
2011-01-21 11:00:00,64.33
2011-01-21 12:00:00,74.64
2011-01-21 13:00:00,67.8
2011-01-21 14:00:00,67.04
2011-01-21 15:00:00,64.44
2011-01-21 16:00:00,77.88
2011-01-21 17:00:00,152.7
2011-01-21 18:00:00,150.83
2011-01-21 19:00:00,106.03
2011-01-21 20:00:00,64.51
2011-01-21 21:00:00,45.05
2011-01-21 22:00:00,33.16
2011-01-21 23:00:00,21.46
2011-01-22 00:00:00,25.07
2011-01-22 01:00:00,18.14
2011-01-22 02:00:00,13.67
2011-01-22 03:00:00,7.14
2011-01-22 04:00:00,2.43
2011-01-22 06:00:00,4.46
2011-01-22 07:00:00,19.11
2011-01-22 08:00:00,27.75
2011-01-22 09:00:00,33.16
2011-01-22 10:00:00,60.5
2011-01-22 11:00:00,63.97
2011-01-22 12:00:00,77.13
2011-01-22 13:00:00,82.62
2011-01-22 14:00:00,78.04
2011-01-22 15:00:00,83.82
2011-01-22 16:00:00,82.05
2011-01-22 17:00:00,95.84
2011-01-22 18:00:00,64.7
2011-01-22 19:00:00,44.65
2011-01-22 20:00:00,43.92
2011-01-22 21:00:00,40.6
2011-01-22 22:00:00,33.34
2011-01-22 23:00:00,18.98
2011-01-23 00:00:00,27.26
2011-01-23 01:00:00,21.13
2011-01-23 02:00:00,16.1
2011-01-23 03:00:00,14.26
2011-01-23 05:00:00,2.41
2011-01-23 06:00:00,2.31
2011-01-23 07:00:00,10.37
2011-01-23 08:00:00,22.44
2011-01-23 09:00:00,29.37
